t,base,turn,setL,setR,rpsL,rpsR,uFFL,uFFR,uPIDL,uPIDR,outL,outR
3.670,1.800,1.000,0.800,2.800,1.091,2.764,0.3040,0.7640,-0.3338,0.0838,0.0991,0.8478
3.691,1.800,1.000,0.800,2.800,1.021,2.772,0.3040,0.7640,0.0417,-0.0039,0.1991,0.7601
3.711,1.800,1.000,0.800,2.800,1.087,2.754,0.3040,0.7640,-0.3367,0.0735,0.0991,0.8375
3.731,1.800,1.000,0.800,2.800,1.094,2.700,0.3040,0.7640,-0.1952,0.1954,0.1088,0.9375
3.752,1.800,1.000,0.800,2.800,1.019,2.764,0.3040,0.7640,0.0587,-0.1409,0.2088,0.8375
3.772,1.800,1.000,0.800,2.800,1.088,2.828,0.3040,0.7640,-0.3458,-0.1765,0.1088,0.7375
3.790,1.800,1.000,0.800,2.800,1.161,2.829,0.3040,0.7640,-0.3982,-0.0185,0.0088,0.7455
3.810,1.800,1.000,0.800,2.800,1.049,2.713,0.3040,0.7640,0.1288,0.3431,0.1088,0.8455
3.831,1.800,1.000,0.800,2.800,0.947,2.785,0.3040,0.7640,0.1668,-0.1731,0.2088,0.7455
3.851,1.800,1.000,0.800,2.800,1.007,2.804,0.3040,0.7640,-0.2724,-0.0485,0.1088,0.7155
3.871,1.800,1.000,0.800,2.800,1.096,2.776,0.3040,0.7640,-0.4002,0.0851,0.0088,0.8155
3.890,1.800,1.000,0.800,2.800,1.092,2.766,0.3040,0.7640,-0.1659,0.0432,0.1088,0.8072
3.910,1.800,1.000,0.800,2.800,0.875,2.698,0.3040,0.7640,0.4976,0.2333,0.2088,0.9072
3.930,1.800,1.000,0.800,2.800,1.015,2.755,0.3040,0.7640,-0.4793,-0.1167,0.1088,0.8072
3.950,1.800,1.000,0.800,2.800,1.025,2.781,0.3040,0.7640,-0.1592,-0.0544,0.1448,0.7096
3.970,1.800,1.000,0.800,2.800,0.943,2.685,0.3040,0.7640,0.1178,0.3098,0.2448,0.8096
3.990,1.800,1.000,0.800,2.800,1.023,2.775,0.3040,0.7640,-0.3316,-0.2109,0.1448,0.7096
4.011,1.800,1.000,0.800,2.800,1.024,2.707,0.3040,0.7640,-0.1388,0.2266,0.1652,0.8096
4.031,1.800,1.000,0.800,2.800,1.081,2.739,0.3040,0.7640,-0.3117,-0.0447,0.0652,0.7193
4.051,1.800,1.000,0.800,2.800,1.098,2.708,0.3040,0.7640,-0.2204,0.1322,0.0836,0.8193
4.070,1.800,1.000,0.800,2.800,1.015,2.756,0.3040,0.7640,0.0771,-0.0929,0.1836,0.7193
4.089,1.800,1.000,0.800,2.800,0.976,2.789,0.3040,0.7640,-0.0072,-0.0755,0.2836,0.6885
4.112,1.800,1.000,0.800,2.800,1.093,2.696,0.3040,0.7640,-0.4684,0.2939,0.1836,0.7885
4.132,1.800,1.000,0.800,2.800,1.165,2.694,0.3040,0.7640,-0.3987,0.0693,0.0836,0.8333
4.151,1.800,1.000,0.800,2.800,1.245,2.782,0.3040,0.7640,-0.4656,-0.2090,-0.0164,0.7333
4.171,1.800,1.000,0.800,2.800,1.091,2.692,0.3040,0.7640,0.2077,0.2891,0.0836,0.8333
4.190,1.800,1.000,0.800,2.800,0.950,2.777,0.3040,0.7640,0.2639,-0.1979,0.1836,0.7333
4.210,1.800,1.000,0.800,2.800,1.020,2.695,0.3040,0.7640,-0.3060,0.2688,0.0836,0.8333
4.230,1.800,1.000,0.800,2.800,1.094,2.771,0.3040,0.7640,-0.3621,-0.1746,-0.0164,0.7333
4.249,1.800,1.000,0.800,2.800,1.019,2.693,0.3040,0.7640,0.0554,0.2586,0.0836,0.8333
4.269,1.800,1.000,0.800,2.800,0.870,2.684,0.3040,0.7640,0.3299,0.0947,0.1836,0.8587
4.289,1.800,1.000,0.800,2.800,0.905,2.716,0.3040,0.7640,-0.1506,-0.0305,0.1534,0.7587
4.310,1.800,1.000,0.800,2.800,0.955,2.718,0.3040,0.7640,-0.2171,0.0438,0.0869,0.8078
4.330,1.800,1.000,0.800,2.800,1.014,2.679,0.3040,0.7640,-0.2754,0.1694,0.0286,0.9078
4.349,1.800,1.000,0.800,2.800,0.874,2.769,0.3040,0.7640,0.3042,-0.2042,0.1286,0.8078
4.369,1.800,1.000,0.800,2.800,0.881,2.715,0.3040,0.7640,-0.0641,0.1841,0.2286,0.9078
4.390,1.800,1.000,0.800,2.800,0.878,2.707,0.3040,0.7640,-0.0396,0.0780,0.2644,0.8420
4.410,1.800,1.000,0.800,2.800,1.010,2.741,0.3040,0.7640,-0.4567,-0.0519,0.1644,0.7420
4.431,1.800,1.000,0.800,2.800,1.094,2.772,0.3040,0.7640,-0.3865,-0.0589,0.0644,0.7051
